id,pl,pw,sl,sw
1,5,3.5,1.3,0.3
2,4.8,3,1.4,0.2
3,4.7,3.2,1.3,0.2
4,4.6,3.2,1.5,0.2
5,4.9,3.4,1.3,0.2
6,5.2,3.9,1.6,0.4
7,4.7,3.5,1.3,0.2
8,5,3.4,1.4,0.3
9,4.3,2.9,1.3,0.2
10,4.9,3,1.5,0.2
11,5.3,3.6,1.5,0.1
12,4.7,3.4,1.5,0.4
13,4.6,2.9,1.4,0.1
14,4.1,3,1.1,0.1
15,5.7,4,1.2,0.2
16,5.7,4.3,1.5,0.5
17,5.4,4,1.1,0.4
18,4.9,3.4,1.4,0.4
19,5.6,3.7,1.7,0.3
20,5.1,3.7,1.4,0.4
21,5.3,3.3,1.6,0.2
22,5.2,3.6,1.5,0.4
23,4.4,3.6,0.9,0.2
24,5.1,3.3,1.6,0.5
25,4.8,3.3,1.9,0.3
26,5,3,1.6,0.2
27,5,3.3,1.5,0.4
28,5.1,3.6,1.5,0.3
29,5.2,3.4,1.3,0.3
30,4.6,3.2,1.5,0.2
31,4.8,3.1,1.5,0.2
32,5.4,3.4,1.5,0.4
33,5.3,4,1.4,0.1
34,5.5,4.1,1.3,0.2
35,4.7,3.1,1.5,0.1
36,5,3,1.2,0.2
37,5.5,3.5,1.1,0.1
38,4.8,3.1,1.5,0.1
39,4.4,2.9,1.2,0.2
40,5,3.3,1.5,0.3
41,4.8,3.5,1.2,0.4
42,4.6,2.4,1.3,0.3
43,4.4,3,1.3,0.3
44,5.1,3.4,1.6,0.5
45,5.2,3.8,1.8,0.5
46,4.9,2.8,1.4,0.4
47,4.9,3.7,1.4,0.2
48,4.5,3.2,1.3,0.3
49,5.3,3.7,1.6,0.1
50,4.9,3.2,1.2,0.2
51,6.9,3.1,4.7,1.4
52,6.4,3.3,4.5,1.5
53,6.8,2.9,4.8,1.4
54,5.5,2.3,3.9,1.5
55,6.5,2.9,4.5,1.6
56,5.7,2.8,4.4,1.4
57,6.2,3.3,4.7,1.8
58,4.9,2.4,3.3,1.2
