id,species,examiner
1,Iris-setosa,Sobhan
2,Iris-setosa,Andrej
3,Iris-setosa,Ahmad
4,Iris-setosa,Matteo
5,Iris-setosa,Sobhan
6,Iris-setosa,Andrej
7,Iris-setosa,Ahmad
8,Iris-setosa,Matteo
9,Iris-setosa,Sobhan
10,Iris-setosa,Andrej
11,Iris-setosa,Ahmad
12,Iris-setosa,Matteo
13,Iris-setosa,Sobhan
14,Iris-setosa,Andrej
15,Iris-setosa,Ahmad
16,Iris-setosa,Matteo
17,Iris-setosa,Sobhan
18,Iris-setosa,Andrej
19,Iris-setosa,Ahmad
20,Iris-setosa,Matteo
21,Iris-setosa,Sobhan
22,Iris-setosa,Andrej
23,Iris-setosa,Ahmad
24,Iris-setosa,Matteo
25,Iris-setosa,Sobhan
26,Iris-setosa,Andrej
27,Iris-setosa,Ahmad
28,Iris-setosa,Matteo
29,Iris-setosa,Sobhan
30,Iris-setosa,Andrej
31,Iris-setosa,Ahmad
32,Iris-setosa,Matteo
33,Iris-setosa,Sobhan
34,Iris-setosa,Andrej
35,Iris-setosa,Ahmad
36,Iris-setosa,Matteo
37,Iris-setosa,Sobhan
38,Iris-setosa,Andrej
39,Iris-setosa,Ahmad
40,Iris-setosa,Matteo
41,Iris-setosa,Sobhan
42,Iris-setosa,Andrej
43,Iris-setosa,Ahmad
44,Iris-setosa,Matteo
45,Iris-setosa,Sobhan
46,Iris-setosa,Andrej
47,Iris-setosa,Ahmad
48,Iris-setosa,Matteo
49,Iris-setosa,Sobhan
50,Iris-setosa,Andrej
51,Iris-versicolor,Ahmad
52,Iris-versicolor,Matteo
53,Iris-versicolor,Sobhan
54,Iris-versicolor,Andrej
55,Iris-versicolor,Ahmad
56,Iris-versicolor,Matteo
57,Iris-versicolor,Sobhan
58,Iris-versicolor,Andrej
59,Iris-versicolor,Ahmad
60,Iris-versicolor,Matteo
61,Iris-versicolor,Sobhan
62,Iris-versicolor,Andrej
63,Iris-versicolor,Ahmad
64,Iris-versicolor,Matteo
65,Iris-versicolor,Sobhan
66,Iris-versicolor,Andrej
67,Iris-versicolor,Ahmad
